cd_nom	taxa_name	level_1_alp	level_1_mc	level_2_alp	level_2_mc
96454	Epipactis microphylla (Ehrh.) Sw., 1800	1	1	0	0
92651	Cotoneaster delphinensis Chatenier, 1923	1	0	0	0
123560	Silene nemoralis Waldst. & Kit., 1812	1	1	0	0
138535	Paeonia officinalis subsp. huthii Soldano, 1993	1	0	0	0
521629	Epipactis fageticola (C.E.Hermos.) Devillers-Terschuren & Devillers, 1999	1	1	0	0
109499	Neotinea maculata (Desf.) Stearn, 1974	1	1	0	0
91369	Cirsium monspessulanum (L.) Hill, 1768	1	1	0	0
82492	Androsace chaixii Gren., 1853	1	0	0	0
129596	Viola jordanii Hanry, 1853	1	1	0	0
98988	Fritillaria tubiformis Gren. & Godr., 1855	1	0	0	0
717152	Cotoneaster nebrodensis (Guss.) K.Koch, 1853	1	0	0	0
84100	Arum cylindraceum Gasp., 1844	1	0	0	0
131930	Astragalus vesicarius subsp. vesicarius L., 1753	1	0	0	0
97533	Euphorbia graminifolia Vill., 1786	1	0	0	0
103596	Inula bifrons (L.) L., 1763	1	1	0	0
103749	Iris lutescens Lam., 1789	1	1	0	0
110068	Omphalodes linifolia (L.) Moench, 1794	1	0	0	0
106446	Loeflingia hispanica L., 1753	1	0	0	0
109135	Myricaria germanica (L.) Desv., 1824	1	0	0	0
97680	Euphorbia sulcata Lens ex Loisel., 1828	1	0	0	0
99182	Gagea lacaitae A.Terracc., 1904	1	1	0	0
132357	Bupleurum ranunculoides subsp. telonense (Gren. ex Timb.-Lagr.) H.J.Coste	1	0	0	0
110961	Orchis provincialis Balb. ex DC., 1806	1	1	0	0
94423	Daphne cneorum L., 1753	1	1	0	0
137171	Legousia falcata subsp. castellana (Lange) Jauzein, 1995	1	0	0	0
162206	Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase, 1997	1	1	0	0
131929	Astragalus vesicarius subsp. pastellianus (Pollini) Arcang., 1882	1	0	0	0
94833	Dianthus superbus L., 1755	1	1	0	0
111996	Oxytropis pilosa (L.) DC., 1802	1	0	0	0
113620	Pinguicula grandiflora Lam., 1789	1	1	0	0
87905	Cardamine bulbifera (L.) Crantz, 1769	1	0	0	0
95407	Dracocephalum ruyschiana L., 1753	1	0	0	0
91346	Cirsium heterophyllum (L.) Hill, 1768	1	0	0	0
95442	Drosera rotundifolia L., 1753	1	1	0	0
88344	Carex appropinquata Schumach., 1801	1	1	0	0
94123	Cytisus hirsutus L., 1753	1	0	0	0
103501	Iberis timeroyi Jord., 1847	1	0	0	0
88493	Carex elongata L., 1753	1	1	0	0
128343	Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh., 1871	1	1	0	0
82420	Andromeda polifolia L., 1753	1	1	0	0
122305	Selaginella helvetica (L.) Spring, 1838	1	0	0	0
100278	Gladiolus palustris Gaudin, 1828	1	0	0	0
95561	Dryopteris cristata (L.) A.Gray, 1848	1	0	0	0
610911	Lysimachia europaea (L.) U.Manns & Anderb., 2009	1	0	0	0
111452	Orobanche alsatica Kirschl., 1836	1	1	0	0
114209	Poa flaccidula Boiss. & Reut., 1852	1	0	0	0
129481	Vincetoxicum nigrum (L.) Moench, 1802	1	0	0	0
100614	Gymnadenia odoratissima (L.) Rich., 1817	1	1	0	1
99185	Gagea lutea (L.) Ker Gawl., 1809	1	1	0	0
99193	Gagea pomeranica Rüthe, 1893	1	0	0	0
810955	Cytisus ardoinoi subsp. sauzeanus (Bumat & Briq.) Auvray	1	0	0	0
94041	Cypripedium calceolus L., 1753	1	0	0	0
96499	Epipogium aphyllum Sw., 1814	1	1	0	0
110313	Ophioglossum vulgatum L., 1753	1	1	0	1
95281	Dorycnium rectum (L.) Ser., 1825	1	0	0	0
81287	Alkanna matthioli Tausch, 1824	1	1	0	0
99581	Galium verticillatum Danthoine ex Lam., 1788	1	1	0	0
111464	Orobanche artemisii-campestris Vaucher ex Gaudin, 1829	1	0	0	0
116531	Pyrola chlorantha Sw., 1810	1	1	0	0
104419	Juniperus thurifera L., 1753	1	0	0	0
