cd_nom	taxa_name
80824	Ailanthus altissima
82080	Ambrosia artemisiifolia
610847	Ambrosia psilostachya
82093	Ambrosia trifida
84251	Asclepias syriaca
86817	Broussonetia papyrifera
717123	Cenchrus setaceus
92572	Cortaderia selloana
92793	Crassula helmsii
95983	Elodea nuttallii
100603	Gunnera tinctoria
101286	Heracleum mantegazzianum
160257	Heracleum persicum
103030	Humulus japonicus
103139	Hydrocotyle ranunculoides
103547	Impatiens glandulifera
883894	Koenigia polystachya
104805	Lagarosiphon major
106742	Ludwigia grandiflora
106748	Ludwigia peploides
610602	Lysichiton americanus
109141	Myriophyllum aquaticum
109144	Myriophyllum heterophyllum
447733	Pistia stratiotes
454932	Pontederia crassipes
117507	Reynoutria x bohemica
117503	Reynoutria japonica
117505	Reynoutria sachalinensis
