cd_nom	taxa_name
80211	Adonis aestivalis L., 1762
80212	Adonis annua L., 1753 [nom. et typ. cons.]
80224	Adonis flammea Jacq., 1776
80546	Agrostemma githago L., 1753
81501	Allium rotundum L., 1762
81648	Alopecurus myosuroides Huds., 1762
82516	Androsace maxima L., 1753
82817	Anthemis arvensis L., 1753
82833	Anthemis cotula L., 1753
83156	Apera spica-venti (L.) P.Beauv., 1812
83159	Aphanes arvensis L., 1753
83890	Arnoseris minima (L.) Schweigg. & Körte, 1811
84297	Asperula arvensis L., 1753
85250	Avena fatua L., 1753
85997	Bifora radians M.Bieb., 1819
85999	Bifora testiculata (L.) Spreng., 1820
86537	Bromus arvensis L., 1753
718214	Bromus commutatus subsp. decipiens (Bomble & H.Scholz) H.Scholz, 2003
86751	Bromus secalinus L., 1753 [nom. et typ. cons.]
86890	Buglossoides arvensis (L.) I.M.Johnst., 1954
87095	Bupleurum rotundifolium L., 1753
87102	Bupleurum subovatum Link ex Spreng., 1813
87577	Camelina microcarpa Andrz. ex DC., 1821
87581	Camelina rumelica Velen., 1888
613479	Camelina sativa var. pilosa DC., 1824
89415	Caucalis platycarpos L., 1753
89531	Centaurea benedicta (L.) L., 1763
90180	Ceratocephala falcata (L.) Pers., 1805
92254	Conringia orientalis (L.) Dumort., 1827
92627	Cota altissima (L.) J.Gay ex Guss., 1844
93680	Cyanus segetum Hill, 1762
94572	Delphinium consolida L., 1753
161239	Delphinium orientale J.Gay, 1840
94599	Delphinium pubescens DC., 1815
99111	Fumaria parviflora Lam., 1788
99139	Fumaria vaillantii Loisel., 1809
99211	Gagea villosa (M.Bieb.) Sweet, 1826
99549	Galium spurium L., 1753
99566	Galium tricornutum Dandy, 1957
100275	Gladiolus italicus Mill., 1768
100288	Glaucium corniculatum (L.) Rudolph, 1781
100694	Gypsophila vaccaria (L.) Sm., 1809
102930	Honorius nutans (Sm.) Gray, 1821
103229	Hypecoum imberbe Sm., 1806
103233	Hypecoum pendulum L., 1753
105010	Lappula squarrosa (Retz.) Dumort., 1827
105273	Lathyrus tuberosus L., 1753
105407	Legousia hybrida (L.) Delarbre, 1800
105410	Legousia speculum-veneris (L.) Chaix, 1785
106517	Lolium temulentum L., 1753
107786	Melampyrum arvense L., 1753
108948	Myagrum perfoliatum L., 1753
109594	Neslia paniculata (L.) Desv., 1815
109620	Nigella arvensis L., 1753
718723	Nigella hispanica var. hispanica L., 1753
109636	Nigella nigellastrum (L.) Willk., 1880
111301	Orlaya platycarpos W.D.J.Koch, 1824
117874	Papaver argemone L., 1753
112303	Papaver dubium L., 1753
1019750	Papaver hybridum L., 1753
112355	Papaver rhoeas L., 1753
113213	Phleum paniculatum Huds., 1762
114519	Polycnemum arvense L., 1753
114520	Polycnemum majus A.Braun ex Bogenh., 1841
114660	Polygonum bellardii All., 1785
116932	Ranunculus arvensis L., 1753
117820	Ridolfia segetum (Guss.) Moris, 1842
117876	Roemeria hybrida (L.) DC., 1821
121449	Scandix pecten-veneris L., 1753
140781	Scleranthus annuus subsp. annuus L., 1753
123555	Silene muscipula L., 1753
123562	Silene noctiflora L., 1753
123785	Sison segetum L., 1753
124499	Spergula arvensis L., 1753
124583	Spergula segetalis (L.) Vill., 1789
126474	Thymelaea passerina (L.) Coss. & Germ., 1861
127918	Tulipa aximensis Jord. ex Baker, 1894
127921	Tulipa billietiana Jord., 1858
127928	Tulipa didieri Jord., 1846
127934	Tulipa gesneriana L., 1753
127943	Tulipa mauriana Jord. & Fourr., 1866
127945	Tulipa montisandrei J.Prudhomme, 1994
127950	Tulipa planifolia Jord., 1858
142006	Tulipa sylvestris subsp. sylvestris L., 1753
127988	Turgenia latifolia (L.) Hoffm., 1814
128469	Valerianella echinata (L.) DC., 1805
129032	Veronica triphyllos L., 1753
129265	Vicia pannonica Crantz, 1769
142433	Viola tricolor subsp. tricolor L., 1753
