i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
3931;{3931,5373,435854};3;435854;{3931,5373,435854};3;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
3945;{3945};1;961306;{3945};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
3864;{3864};1;3864;{3864,433984};2;;;3;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
4400;{4380,4400};2;4400;{4380,4400,434561};3;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
4397;{4397};1;4397;{4397,4398,4399};3;;;2;cas3: f_cd_ref;Merge attributes if exists;merge
4398;{4398};1;4397;{4397,4398,4399};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
4399;{4399};1;4397;{4397,4398,4399};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
4776;{4776};1;4776;{4776,434564};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
4849;{4849};1;4849;{4849,434535};2;;;7;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5013;{5013};1;839011;{5013};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5014;{5014};1;839012;{5014};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5025;{5025};1;963550;{5025};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5037;{5037};1;839014;{5037};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5041;{5041};1;839016;{5041};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5045;{5045};1;839017;{5045};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5065;{5065};1;435952;{5065};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5167;{5167};1;5167;{5167,434669,434670};3;;;2;cas3: f_cd_ref;Merge attributes if exists;merge
5072;{5072};1;5072;{5072,434611};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5090;{5090};1;5090;{5090,434641};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5228;{5228};1;786509;{5228,786509};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5253;{5253,434584,435796};3;435796;{5253,435796};2;;;;cas2;Loose attributes and medium now attach to No one;split
5253;{5253,434584,435796};3;786528;{434584};1;;;;cas2;Loose attributes and medium now attach to No one;split
5325;{5325};1;5325;{5325,786539};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5347;{5347};1;5347;{5347,434576};2;;;7;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5637;{5637};1;435566;{5637};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5738;{5738};1;956735;{5738};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5742;{5742};1;963836;{5742};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5748;{5748};1;963846;{5748};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5751;{5751};1;967395;{5751};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5768;{5768};1;956740;{5768};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5770;{5770};1;956667;{5770};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5771;{5771};1;956668;{5771};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6029;{6029};1;436226;{6029};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6053;{6053};1;963812;{6053};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5892;{5892};1;5892;{5892,434677};2;;;1;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5903;{5903};1;5903;{5903,434645};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
6246;{6246};1;655656;{6246};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6279;{6279};1;719571;{6279};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6302;{6302};1;786836;{6302};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6373;{6373};1;786421;{6373};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6565;{6565};1;966763;{6565};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29377;{29377};1;971178;{29377,469175};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
29392;{29392};1;967890;{29392,469182};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
29468;{29468};1;971198;{29468,469196};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
29418;{29418};1;968047;{29418,469183,469184};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
29450;{29450};1;967886;{29450,29457,469190};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
29457;{29457};1;967886;{29450,29457,469190};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
29364;{29492};1;968158;{29492};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29384;{29384};1;508948;{29384};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29387;{29387};1;967900;{29387};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29396;{29396};1;968166;{29396};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29399;{29399};1;971201;{29399};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29773;{29773};1;971168;{29773};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29779;{29779};1;971206;{29779};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29783;{29783};1;520743;{29783};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29814;{29814};1;520774;{29814};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29817;{29817};1;520781;{29817};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29825;{29825};1;967881;{29825};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29827;{29827};1;971423;{29827};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
30551;{30551};1;971732;{30551};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
30658;{30658};1;510089;{30658};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
30673;{30673};1;510065;{30673,469262};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
30878;{30878};1;972007;{30878,31726};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
31726;{31726};1;972007;{30878,31726};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
32855;{32855};1;971427;{32855};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
32860;{32860};1;971476;{32860};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
