regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Trachéophytes,Angiospermes,97477,[97477],"Euphorbia chamaesyce L., 1753",1,97477,"[90528, 97471, 97477, 134355]","Euphorbia chamaesyce L., 1753",4,"[106, 107]",2,,"cas3: 2 grappes, cas3: f_cd_ref","Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,134355,"[90528, 97471, 134355]","Euphorbia chamaesyce subsp. chamaesyce L., 1753",3,97477,"[90528, 97471, 97477, 134355]","Euphorbia chamaesyce L., 1753",4,"[107, 106]",2,1,"cas3: 2 grappes, cas3: f_cd_ref","Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,88840,"[88342, 88646, 88840]","Carex rostrata Stokes, 1787",3,88840,"[88342, 88591, 88646, 88840]","Carex rostrata Stokes, 1787 [nom. et typ. cons.]",4,"[106, 107]",2,13,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,88942,"[88591, 88942]","Carex vesicaria L., 1753",2,88840,"[88342, 88591, 88646, 88840]","Carex rostrata Stokes, 1787 [nom. et typ. cons.]",4,"[107, 106]",2,9,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,93621,[93621],"Cuscuta epithymum (L.) L., 1774",1,93621,"[93599, 93621, 93653, 133568]","Cuscuta epithymum (L.) L., 1774",4,"[106, 107]",2,6,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,133565,"[93599, 93636, 93653, 133565, 133568]","Cuscuta epithymum subsp. epithymum (L.) L., 1774",5,93621,"[93599, 93621, 93653, 133568]","Cuscuta epithymum (L.) L., 1774",4,"[107, 106]",2,3,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,95793,[95793],"Echium vulgare L., 1753",1,95793,"[95763, 95793]","Echium vulgare L., 1753",2,"[107, 106]",2,12,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,613150,"[95746, 95763, 95794, 134032, 146318, 613150]","Echium vulgare var. vulgare L., 1753",6,95793,"[95763, 95793]","Echium vulgare L., 1753",2,"[106, 107]",2,,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,103324,"[103278, 103324]","Hypericum richeri Vill., 1779",2,136772,"[103278, 136772]","Hypericum richeri subsp. richeri Vill., 1779",2,"[106, 107]",2,13,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Plantae,Trachéophytes,Angiospermes,136772,[136772],"Hypericum richeri subsp. richeri Vill., 1779",1,136772,"[103278, 136772]","Hypericum richeri subsp. richeri Vill., 1779",2,"[106, 107]",2,,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Plantae,Trachéophytes,Angiospermes,113620,[113620],"Pinguicula grandiflora Lam., 1789",1,113620,"[113620, 138815, 613801, 613802, 621498, 923321]","Pinguicula grandiflora Lam., 1789",6,"[107, 106]",2,13,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,138815,[138815],"Pinguicula grandiflora subsp. grandiflora Lam., 1789",1,113620,"[113620, 138815, 613801, 613802, 621498, 923321]","Pinguicula grandiflora Lam., 1789",6,"[107, 106]",2,3,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,621498,"[613801, 621498]",Pinguicula grandiflora var. pallida (Babey) Reut.,2,113620,"[113620, 138815, 613801, 613802, 621498, 923321]","Pinguicula grandiflora Lam., 1789",6,,,,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,923321,"[613802, 923321]","Pinguicula grandiflora var. grandiflora Lam., 1789",2,113620,"[113620, 138815, 613801, 613802, 621498, 923321]","Pinguicula grandiflora Lam., 1789",6,,,3,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
