regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Animalia,Arthropodes,Insectes,23205,[23205],"Meligramma cincta (Fallén, 1817)",1,1041083,[23205],"Fagisyrphus cinctus (Fallén, 1817)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,107038,"[107038, 107041, 107043, 137541]","Lycopus europaeus L., 1753",4,107039,[107041],"Lycopus exaltatus L.f., 1782",1,"[107, 106]",2,9,cas2,Loose attributes and medium now attach to 107038,split
Plantae,Trachéophytes,Angiospermes,104855,"[104855, 137068]","Lamium amplexicaule L., 1753",2,981979,[137068],"Lamium amplexicaule var. amplexicaule L., 1753",1,[107],1,10,cas2,Loose attributes and medium now attach to 104855,split
Fungi,Basidiomycètes,Autres,33947,[33947],"Entoloma sericatum (Britzelm.) Sacc., 1895",1,33947,"[33506, 33771, 33947, 973713]","Entoloma sericatum (Britzelm.) Sacc., 1895",4,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,717433,[717433],"Portulaca nitida (Danin & H.G.Baker) Ricceri & Arrigoni, 2000",1,115215,"[115215, 115218, 139177, 150000, 150001, 717432, 717433, 717436]","Portulaca oleracea L., 1753",8,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,717432,[717432],"Portulaca granulatostellulata (Poelln.) Ricceri & Arrigoni, 2000",1,115215,"[115215, 115218, 139177, 150000, 150001, 717432, 717433, 717436]","Portulaca oleracea L., 1753",8,,,2,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,461982,[461982],"Hebeloma aprile Romagn., 1983",1,36126,"[36114, 36126, 36201, 461982]","Hebeloma dunense L.Corb. & R.Heim, 1929",4,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,115218,"[115218, 150001]","Portulaca sativa Haw., 1803",2,115215,"[115215, 115218, 139177, 150000, 150001, 717432, 717433, 717436]","Portulaca oleracea L., 1753",8,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,138136,"[109843, 138130, 138136, 978967]","Odontites vernus subsp. serotinus (Coss. & Germ.) Corb., 1894",4,138136,"[97779, 97808, 109840, 109843, 138130, 138134, 138136, 978967]","Odontites vernus subsp. serotinus (Coss. & Germ.) Corb., 1894",8,"[107, 106]",2,7,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,138532,[138532],"Paeonia mascula subsp. mascula (L.) Mill., 1768",1,138532,"[112031, 138532]","Paeonia mascula subsp. mascula (L.) Mill., 1768",2,,,2,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,108029,"[108023, 108025, 108026, 108029, 108033, 108058, 108086, 108105, 108116, 108121, 108122, 108123, 108131, 108133, 108135, 108169, 108171, 137749]","Mentha arvensis L., 1753",18,108228,"[108121, 108228]","Mentha x carinthiaca Host, 1831",2,"[107, 108, 106]",3,11,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,33771,[33771],"Entoloma myrmecophilum (Romagn.) M.M.Moser, 1978",1,33947,"[33506, 33771, 33947, 973713]","Entoloma sericatum (Britzelm.) Sacc., 1895",4,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,108228,[108228],"Mentha x carinthiaca Host, 1831",1,108228,"[108121, 108228]","Mentha x carinthiaca Host, 1831",2,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Ascomycètes,Lichens,658515,[658515],"Xanthoria fulva (Hoffm.) Poelt & Petut., 1992",1,1040854,[658515],"Xanthomendoza fulva (Hoffm.) Søchting, Kärnefelt & S.Y.Kondr., 2002",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,247826,"[247826, 521528]","Crombrugghia distans (Zeller, 1847)",2,521528,"[247826, 521528]","Oxyptilus distans (Zeller, 1847)",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,240162,[240162],"Tetraloniella fulvescens (Giraud, 1863)",1,998658,[240162],"Tetralonia fulvescens Giraud, 1863",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,235014,[235014],"Cryptophilus integer (Heer, 1841)",1,1040564,[235014],"Cryptophilus angustus (Rosenhauer, 1956)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,824624,[824624],"Biselachista albidella (Nylander in Tengström, 1848)",1,246035,[824624],"Elachista albidella Nylander in Tengström, 1848",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Autres,49517,[49517],"Pseudorhizina sphaerospora (Peck) Pouzar, 1961",1,49518,[49517],"Gyromitra sphaerospora (Peck) Sacc., 1889",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,138566,"[112327, 138566]","Papaver dubium subsp. lecoqii (Lamotte) Syme, 1863",2,112327,"[112327, 138566]","Papaver lecoqii Lamotte, 1851",2,"[106, 107]",2,7,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,41059,[41059],"Ramaria largentii Marr & D.E.Stuntz, 1974",1,1030502,[41059],"Ramaria luteoaurantiaca Franchi & M.Marchetti, 2020",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Gymnospermes,145794,"[93576, 145794]","Cupressus arizonica var. glabra (Sudw.) Little, 1966",2,1030435,"[93576, 145794]","Hesperocyparis glabra (Sudw.) Bartel, 2009",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,509952,"[469257, 509952]","Rhodocollybia butyracea f. asema (Fr.) Antonín, Halling & Noordel., 1997",2,1030675,"[469257, 509952]","Rhodocollybia asema (Fr.) Bendiksen & Dima, 2021",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,139103,"[89877, 114861, 139103]","Polygonum aviculare subsp. rurivagum (Jord. ex Boreau) Berher, 1887",3,114861,"[89877, 114861, 139103]","Polygonum rurivagum Jord. ex Boreau, 1857",3,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,639063,[639063],"Oxalis corniculata var. atropurpurea Planch., 1857",1,138497,[639063],"Oxalis corniculata subsp. purpurea (Parl.) Arcang., 1882",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,716526,"[54501, 610407, 641779, 716526, 777831]","Parnassius corybas sacerdos Stichel, 1906",5,54501,"[54501, 610407, 641779, 716526, 777831]","Parnassius phoebus sacerdos Stichel, 1906",5,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,85617,[85617],"Bartsia trixago L., 1753",1,85703,[85617],"Bellardia trixago (L.) All., 1785",1,,,6,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,258370,[258370],"Xanthogramma dives (Rondani, 1857)",1,1041090,[258370],"Philhelius dives (Rondani, 1857)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Gymnospermes,136972,[136972],"Juniperus communis nothosubsp. intermedia (Schur) K.Richt., 1890",1,1039639,[136972],"Juniperus communis nothovar. hemisphaerica (C.Presl) Parl., 1868",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,55600,"[55600, 665716]","Cyphelium inquinans (Sm.) Trevis., 1862",2,665716,"[55600, 665716]","Acolium inquinans (Sm.) A.Massal., 1853",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,968066,[968066],"Suillellus luridus var. rubriceps (Maire) Blanco-Dios, 2015",1,1026825,[968066],"Suillellus mendax (Simonini & Vizzini) Vizzini, Simonini & Gelardi, 2014",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Gymnospermes,136969,[136969],"Juniperus communis subsp. communis L., 1753",1,1039503,[136969],"Juniperus communis var. communis L., 1753",1,"[106, 107]",2,5,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,39452,"[39452, 514265]","Lactarius favrei H.Jahn, 1982",2,39451,"[39452, 514265]","Lactarius scoticus Berk. & Broome, 1879",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Gymnospermes,136974,"[104407, 104414, 136968, 136974, 147939, 162362]","Juniperus communis subsp. nana (Hook.) Syme, 1868",6,1039508,"[104407, 104414, 136968, 136974, 147939, 162362]","Juniperus communis var. saxatilis Pall., 1789",6,"[107, 106]",2,15,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,24331,[24331],"Xanthogramma pedissequum (Harris, 1778)",1,1041093,[24331],"Philhelius pedissequus (Harris, 1778)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,464216,"[464216, 470290]","Tricholoma sulphureum (Bull.) P.Kumm., 1871",2,464216,[464216],"Tricholoma sulphureum (Bull.) P.Kumm., 1871",1,,,,cas2,Keep attributes and medium,split
Plantae,Trachéophytes,Angiospermes,116197,"[92592, 116197]","Pseudofumaria alba (Mill.) Lidén, 1986",2,116197,[116197],"Pseudo-fumaria alba (Mill.) Lidén, 1986",1,,,3,cas2,Keep attributes and medium,split
Plantae,Trachéophytes,Angiospermes,92594,"[87793, 92584, 92594, 99056, 99084, 133450, 133454, 161259]","Corydalis solida (L.) Clairv., 1811 [nom. et typ. cons.]",8,92594,"[87793, 92584, 92594, 99056, 133450, 161259]","Corydalis solida (L.) Clairv., 1811 [nom. et typ. cons.]",6,"[106, 107]",2,11,cas2,Keep attributes and medium,split
Fungi,Basidiomycètes,Autres,33901,"[33781, 33901]","Entoloma rhodopolium (Fr.) P.Kumm., 1871",2,33901,[33901],"Entoloma rhodopolium (Fr.) P.Kumm., 1871",1,,,,cas2,Keep attributes and medium,split
Plantae,Trachéophytes,Angiospermes,109091,"[109044, 109063, 109071, 109091, 137942]","Myosotis scorpioides L., 1753",5,109068,"[109063, 109068, 109103, 137927]","Myosotis nemorosa Besser, 1822",4,[107],1,8,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Plantae,Trachéophytes,Angiospermes,138535,[138535],"Paeonia officinalis subsp. huthii Soldano, 1993",1,138535,"[138535, 154640]","Paeonia officinalis subsp. huthii Soldano, 1993",2,"[107, 106]",2,18,cas3: f_cd_ref,Conflicts with attributes : sinp_description,merge
Plantae,Trachéophytes,Angiospermes,138536,"[112044, 138536, 154637, 154640]","Paeonia officinalis subsp. microcarpa Nyman, 1878",4,138535,"[138535, 154640]","Paeonia officinalis subsp. huthii Soldano, 1993",2,"[107, 106]",2,,cas3: f_cd_ref,Conflicts with attributes : sinp_description,merge
Plantae,Trachéophytes,Angiospermes,138444,[138444],"Origanum vulgare subsp. vulgare L., 1753",1,138444,"[111264, 111280, 138444]","Origanum vulgare subsp. vulgare L., 1753",3,"[108, 106, 107]",3,6,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Plantae,Trachéophytes,Angiospermes,109068,"[109068, 109103, 137927]","Myosotis nemorosa Besser, 1821",3,109068,"[109063, 109068, 109103, 137927]","Myosotis nemorosa Besser, 1822",4,[107],1,7,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Plantae,Trachéophytes,Angiospermes,111289,"[111264, 111280, 111289]","Origanum vulgare L., 1753",3,138444,"[111264, 111280, 138444]","Origanum vulgare subsp. vulgare L., 1753",3,"[108, 107, 106]",3,11,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Fungi,Basidiomycètes,Autres,33306,[33306],"Tricholoma pardinum f. albellum Bon, 1990",1,464222,"[33306, 464222]","Tricholoma filamentosum (Alessio) Alessio, 1988",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,36140,[36140],"Hebeloma fusipes Bres., 1892",1,1040931,"[36140, 36142]","Hebeloma nauseosum Sacc., 1891",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,35750,[35750],"Cortinarius torvus (Fr.) Fr., 1838",1,35750,"[35598, 35750, 461476]","Cortinarius torvus (Fr.) Fr., 1838",3,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,926224,[926224],"Hebeloma odoratissimum Britzelm., 1891",1,926224,"[461985, 926224]","Hebeloma odoratissimum Britzelm., 1891",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,462081,[462081],"Cortinarius terribilis Reumaux, 2002",1,35620,"[35620, 462081]","Cortinarius sociatus Rob.Henry, 1983",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,33401,[33401],"Tricholoma terreum (Schaeff.) P.Kumm., 1871",1,33401,"[33292, 33401]","Tricholoma terreum (Schaeff.) P.Kumm., 1871",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,464222,[464222],"Tricholoma filamentosum (Alessio) Alessio, 1988",1,464222,"[33306, 464222]","Tricholoma filamentosum (Alessio) Alessio, 1988",2,,,1,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,29577,[29577],"Leccinum duriusculum (Schulzer ex Kalchbr.) Singer, 1947",1,29577,"[29577, 905696]","Leccinum duriusculum (Schulzer ex Kalchbr.) Singer, 1947",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,251869,[251869],"Eumenes coronatus coronatus (Panzer, 1799)",1,232339,[251869],"Eumenes coronatus (Panzer, 1799)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,139365,[139365],"Primula elatior subsp. intricata (Gren. & Godr.) Widmer, 1891",1,115884,[139365],"Primula intricata Gren. & Godr., 1853",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Chordés,Oiseaux,4219,[4219],"Sylvia sarda Temminck, 1820",1,889084,[4219],"Curruca sarda (Temminck, 1820)",1,,,9,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
